,CAS,cSMILES
40,118945-64-5,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F
41,81084-29-9,COC(=O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)F
42,13140-29-9,O=C(O)C(F)(OC(F)(F)F)C(F)(F)F
43,1355554-39-0,Cc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)C(C)(C)C
44,60164-51-4,*C(F)(F)F.*F.FC(F)C(F)OC(F)(F)C(F)(F)F
45,16059-16-8,FC(F)C(F)(F)C(F)(F)C(F)(F)COP1(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)=N1
46,57216-88-3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI
47,57678-01-0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
48,70259-85-7,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)F.[K+]
49,422-86-6,FC(F)(F)C(F)(F)C(F)(F)Cl
50,93416-31-0,COc1ccc(C2CN(C)OC2S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
51,165457-57-8,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
52,376-87-4,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F
53,306-94-5,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F
54,356056-15-0,CC(C)[SiH](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(C)C
55,38506-78-4,CC(=O)Oc1c(Cl)cc(Cl)c(Cl)c1CC(Cl)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
56,546063-97-2,O=C(N1CCN(Cc2ccc3c(c2)OCO3)CC1)C(F)(F)C(F)(F)C(F)(F)F
57,934166-50-4,O=C(/C=C/C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
58,1737-33-3,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(F)(F)F
59,1257261-95-2,CCCCCCCCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
60,212563-43-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CI
61,41006-41-1,O=S(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
62,1335496-60-0,CC(C)(C)[Si](C)(C)OCc1cc(CO[Si](C)(C)C(C)(C)C)cc(C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1
63,121633-31-6,CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
64,52591-27-2,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
65,70414-01-6,O=C(NCCc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
66,16005-49-5,FC(F)(F)C(F)(OC(F)(F)C(F)(F)Br)C(F)(F)F
67,68333-92-6,O=C(O)C(F)(F)C(F)(F)F
68,87405-83-2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1
69,101896-21-3,O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(ON(CCO)CCO)ON(CCO)CCO
70,20017-56-5,O=C(O)c1c(F)c(F)c(C(F)(C(F)(F)F)C(F)(F)F)c(F)c1F
71,355-04-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
72,316826-59-2,NS(=O)(=O)c1ccc(CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
73,1221157-07-8,CN(C)[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
74,134330-91-9,O=C(/C(F)=C(\F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
75,68390-33-0,FC(F)(F)C(F)(F)CCI
76,115783-72-7,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(Br)C(F)(F)Br
