,CAS,cSMILES
625,193008-44-5,CN(O)C(=O)C(F)(F)C(F)(F)C(F)(F)F
626,106376-38-9,O=C(Nc1cc(Cl)cc(Cl)c1)C(F)(F)C(F)(F)C(F)(F)F
627,782390-93-6,OCC(F)(F)C(F)(C(F)(F)F)C(F)(F)F
628,1355554-21-0,CCS(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C
629,326475-45-0,Cl[Pd]Cl.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cccc(P(c2cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c2cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cccc(P(c2cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c2cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1
630,559-91-1,O=C(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F
631,647-42-7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
632,62315-18-8,Nc1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
633,40630-22-6,CS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
634,93857-49-9,O=P([O-])([O-])OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[NH4+].[NH4+]
635,344282-18-4,O=C(Nc1ccc(F)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
636,94158-67-5,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1
637,77758-84-0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]c1ccccc1.O=S(=O)([O-])C(F)(F)F
638,68568-54-7,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.[K+]
639,324063-66-3,O=[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
640,7459-59-8,C=C(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F
641,26738-51-2,FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F
642,53826-13-4,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
643,3820-83-5,CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
644,93857-56-8,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
645,88951-29-5,O=C(O)C1CCC(C(F)(F)C(F)(F)C(F)(F)F)CC1
646,85938-56-3,NCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
647,100603-63-2,FC(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
648,336-60-7,O=C(Cc1ccccn1)C(F)(F)C(F)(F)C(F)(F)F
649,1355555-15-5,CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)C(C)C
650,2706-91-4,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
651,129051-93-0,C=Cc1cccc(OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)c1
652,1137162-24-3,OCc1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1
653,942199-24-8,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
654,58671-28-6,O=c1[nH]cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(=O)[nH]1
655,23069-32-1,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
656,73772-33-5,CC(=O)O.CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
657,160498-33-9,O=P([O-])([O-])OC(F)(F)C(F)(F)F.[NH4+].[NH4+]
658,23228-90-2,FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
659,374-98-1,FC(F)(F)C(F)(F)C(F)(F)CI
660,153463-21-9,CC(CCCC(F)(C(F)(F)F)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
661,52512-15-9,O=C(Oc1cccc([N+](=O)[O-])c1)C(F)(F)C(F)(F)C(F)(F)F
662,322647-82-5,FC(F)(F)C(F)(F)C(F)(F)C(Cc1ccc(P(c2ccc(CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1)(C(F)(F)F)C(F)(F)F
663,30670-30-5,NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
664,935553-88-1,FC(F)(F)C(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
665,330562-41-9,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
666,93776-12-6,CC[NH+](CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(=O)[O-]
667,50598-29-3,O=S(=O)(NCc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
668,308-28-1,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
669,503189-11-5,FC(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
670,68158-13-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(I)C(F)(F)F
671,24120-19-2,O=C(/C=C/C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
672,78560-45-9,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl
673,68957-54-0,CCOC(=O)CN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
674,164792-01-2,FC(F)(F)C(F)(F)C(F)(F)C(c1ccc[nH]1)c1ccc[nH]1
675,862133-36-6,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1c(F)ccc(NC(=O)c2ccccc2)c1F
676,1892-03-1,FC1=CC(F)(F)C(F)(F)C1(F)F
677,92978-07-9,FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
678,37759-79-8,CCOC(=O)/C=C/C(F)(F)C(F)(F)C(F)(F)F
679,68156-07-0,*C(F)(F)F.*F.*F.*F.O=S(=O)([O-])C1C(F)C(F)C(F)C(F)(F)C1(F)F.[K+]
680,30381-98-7,CCN(CCOP(=O)([O-])OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+]
681,81126-57-0,O=C(F)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)F)C(F)(F)Cl
682,68541-01-5,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.[K+]
683,20017-51-0,O=[N+]([O-])c1c(F)c(F)c(C(F)(C(F)(F)F)C(F)(F)F)c(F)c1C(F)(C(F)(F)F)C(F)(F)F
684,1355555-01-9,CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)C(C)CC
685,194427-39-9,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
686,1193010-01-3,CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
687,90146-96-6,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC
688,375-63-3,FC(F)C(F)(F)C(F)(F)C(F)(F)[Si](Cl)(Cl)Cl
689,93857-54-6,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
690,1652-63-7,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-]
691,144459-62-1,O=C(c1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)F
692,54572-17-7,FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
693,26131-32-8,COC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
694,74328-57-7,FC(F)(F)C(F)(CC1CO1)C(F)(F)F
695,96250-52-1,C=C(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
696,65530-71-4,O=P([O-])(O)OCCC(F)(F)F.[NH4+]
697,170118-61-3,CCO/C=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F
698,68555-68-0,CCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]
699,68298-80-6,CCN(CCOCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
700,355-81-7,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F
701,1313024-90-6,C[C@H](O)C(F)(F)C(F)(F)C(F)(F)F
702,13845-92-6,FC(F)=C(F)OC(F)(F)OC(F)=C(F)F
703,335-97-7,C=CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
704,21581-82-8,FC(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F
705,139613-90-4,Nc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
706,51249-62-8,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr
707,469904-32-3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[SiH3]
708,424-55-5,O=C(O)CSC(CC(=O)O)C(F)(F)C(F)(F)C(F)(F)F
709,865-77-0,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
710,128032-23-5,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccsc1
711,2706-89-0,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]
712,1598-17-0,OC(COCC(F)(F)C(F)(F)C(F)(F)F)COCC(F)(F)C(F)(F)C(F)(F)F
713,1682-31-1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI
714,68310-17-8,CCN(CCOC(C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
715,108156-21-4,O=C(Cl)OCC(F)(F)C(F)(F)C(F)(F)F
716,1355555-21-3,CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)CC(C)C
717,145510-89-0,CCCCOC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
718,132673-98-4,C=C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
719,4472-70-2,FC(F)(F)C(F)(F)C(F)(F)C1=NCCN1
720,3486-08-6,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
721,355-99-7,CCNCC(F)(F)C(F)(F)C(F)(F)F
722,80337-25-3,C#CC(F)(F)C(F)(F)C(F)(F)F
723,94158-64-2,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
724,25600-64-0,CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)F
725,53826-16-7,FC(F)(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
726,176979-18-3,CCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
727,60799-27-1,Fc1c(F)c(C(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)c(F)c(F)c1Br
728,109296-89-1,COC(=O)c1c(OC)cccc1C(F)(F)C(F)(F)C(F)(F)F
729,101940-12-9,O=S(=O)([O-])OCCC(F)(F)C(F)(F)F.[NH4+]
730,1433216-39-7,FC(F)(F)C(F)(c1ccc2[nH]ncc2c1)C(F)(F)F
731,443145-46-8,C=CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
732,16753-33-6,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
733,1456900-48-3,O=S(=O)(NC1CCCCCCC1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
734,425-22-9,CCCC(=O)C(F)(F)C(F)(F)C(F)(F)F
735,29514-94-1,O=S(=O)(F)C(F)(F)C(F)(F)OC(F)=C(F)F
736,93776-03-5,CC(COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OC(C)COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
737,101948-89-4,Cc1cccc(C)c1NC(=O)C(F)(F)C(F)(F)C(F)(F)F
738,94159-81-6,CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
739,156465-44-0,O=S1(=O)OC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)F
740,158018-93-0,CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
741,313-72-4,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F
742,462996-04-9,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccccc2)c2ccccc2)cc1
743,92914-88-0,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
744,115585-00-7,CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
745,24160-20-1,O=C(CCN1CC1)OCC(F)(F)C(F)(F)C(F)(F)F
746,66566-87-8,OC(C(F)(F)C(F)(F)C(F)(F)C(F)F)C(F)(C(F)(F)F)C(F)(F)F
747,87988-75-8,O=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1
748,212013-54-2,O=C([O-])C(F)(F)C(F)(F)F.[NH4+]
749,865-71-4,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F
750,425-24-1,CC(C)(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F
751,106209-21-6,C=Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
752,34839-44-6,O=[N+]([O-])OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
753,393098-42-5,O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
754,773-14-8,FC1(F)OC(F)(F)C(F)(F)C1(F)F
755,36405-47-7,C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F
756,78740-39-3,[Li+].[O-]C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
757,307-71-1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[K+]
758,70225-14-8,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCC[NH2+]CCO
759,117516-21-9,CCOC(=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
760,185689-57-0,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
761,7589-44-8,FC(F)(F)C(F)(F)C(F)(F)[C@@H]1CCCC[C@H]1I
762,129794-54-3,OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
763,21652-57-3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCBr
764,138704-55-9,CCCCCCCCCCCCCCCCCCN1CC(CN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC1=O
765,69091-20-9,C[N+](C)(C)CCCNS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
766,126015-32-5,O=CCC(F)(F)C(F)(F)C(F)(F)F
767,1355554-44-7,CCS(=O)(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C
768,355-20-4,FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F
769,74359-14-1,C=C(Cl)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F
770,336-64-1,O=C(OOC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
771,1868-86-6,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[NH4+]
772,1443258-17-0,O=C(NS(=O)(=O)Oc1ccc(Cl)cc1)C(F)(F)C(F)(F)C(F)(F)F
773,355-88-4,CC(N)C(O)C(F)(F)C(F)(F)C(F)(F)F
774,355-86-2,O=P(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F
775,99338-16-6,O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1
776,314053-71-9,CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
777,16005-45-1,FC(F)(F)C(F)(I)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
778,4980-53-4,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
779,2340-84-3,OCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
780,595-26-6,O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccco1
781,1189052-95-6,O=P([O-])(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]
782,460744-98-3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
783,1417316-15-4,CC(C)[C@H](N)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
784,40735-21-5,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
785,94705-65-4,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(C(=O)NC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1
786,156575-40-5,CS(=O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
787,94159-88-3,CC1(C)OCC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O1
788,171184-15-9,C[N+](C)(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]
789,273735-78-7,FC(F)(F)C(F)(c1ccc2c(c1)CCN2)C(F)(F)F
790,105774-97-8,F/C(I)=C(/F)C(F)(C(F)(F)F)C(F)(F)F
791,69481-44-3,O=C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1
792,755-49-7,CCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)F
793,14650-24-9,C=C(C)C(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
794,129838-40-0,CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
795,31185-67-8,CC12COC(C(F)(F)C(F)(F)C(F)(F)F)(OC1)OC2
796,62038-08-8,N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
797,94237-17-9,C[Si](C)(C)O[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
798,67906-38-1,C=C(C)C(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
799,375-92-8,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
800,118914-93-5,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F
801,62315-22-4,Cl.O=C(Nc1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1)c1cccnc1
802,142706-74-9,Nc1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1
803,375-51-9,FC(F)(F)C(F)(F)C(F)(I)C(F)(F)F
804,93894-73-6,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Mg+2]
805,72804-48-9,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC1(F)F
806,67584-51-4,CCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+]
807,1234571-87-9,O=c1c(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1=O
808,84551-43-9,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
809,84808-65-1,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
810,1992-91-2,OCC(O)CC(F)(F)C(F)(F)C(F)(F)F
811,1193009-93-6,CCCCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
812,2599-84-0,FC(F)=C(F)OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
